id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,museum_abbr,musealia_mark,musealia_seria_nr,musealia_queue_nr,musealia_additional_nr,collection_mark,collection_queue_nr,collection_additional_nr,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
232170,ETMM _ 12150:115 Aj 118:44/M20,"Kuno Areng, Bremerhaveni Festwoche medal",118.0,metall,,festivalid,linn Bremerhaven,1979,,ei,Saksamaa  ,osaleja,"Areng, Kuno",,,,,läbimõõt,cm,4,ETMM,_,12150.0,115.0,,Aj,44.0,M20,1.0,,1.0,Festwoche- Breemenhaven ,,hea,hall,KUTTER ASTARTE -SCHIFFERGILDE BREMENHAVEN E. V.,medal
2251378,ETMM _ 12584:19 M 102:1/13:13,"Foto-Villem Kapp,foto pühendusega Armilde M,1937",102.0,fotomaterjal,,filmindus ja fotograafia,,1938,,ei,  ,,,,,,,,,,ETMM,_,12584.0,19.0,,M,1.0,13:13,1.0,"Fotod Villem Kapi ja Juhan Aaviku kogu-
desse, ostetud 2013. aastal",,,,hea,,,foto
2070466,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,52.0,,1.0,,,,,hea,,,foto
4085096,ETMM _ Fk 41691/k,"Metspart, Noorsooteater, 1969, osades: Hedvig - Mari Lill, Gina - Silvia Laidla",41691.0,fotomaterjal,,teater,,18.09.1969,,ei,  ,seosorganisatsioon,Noorsooteater,,,,,filmikaader,60 x 60 mm,1,ETMM,_,,,,Fk,,k,1.0,,1.0,TB080321,,rahuldav,,,fotonegatiiv
2697904,ETMM _ 9424 Mo 238:1/62:05,Kiri: Rahvapillimehed: Viiul: Jüri Saal: Kiri A. Pulstile: 16.02.1936,238.0,paber,,,,,,,,,,,,,käsikiri,,,,ETMM,_,9424.0,,,Mo,1.0,62:05:00,1.0,Rahvapillimehed Mo238,1.0,,,rahuldav,,,kiri
2521183,AM _ 29147:60 M,killing,,biljoon,,rahandus,,1500,1550,ei,  ,,,,,,,kaal,g,"1,06",AM,_,29147.0,60.0,,M,,,1.0,,,aardeleid metallnõus,,määramata,,,münt
224392,ETMM _ 11008 Aj 110:2/T60,Uno Uibo märk 100 aastat näitemängu Pärnus,110.0,vask,,teatritegevus,linn Pärnu,1978,,ei,Eesti  ,seosorganisatsioon,Teater Endla,,,,emailimine,paksus,cm,0.1,ETMM,_,11008.0,,,Aj,2.0,T60,1.0,,1.0,,,hea,mitmevärviline,1878,silt/märk
2111663,,,,,,,,,,,,,,,,,,,,,ETMM,_,6567.0,,,M,1.0,95:01:00,1.0,,1.0,,,hea,,,kiri
2746349,AM N 3093," 8. Eesti Laskurkorpus. Pidulik koosolek, vaade publikule",3093.0,film,,portreteerimine,,,,,  ,,,,,,mustvalge fotograafia,negatiivi formaat,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,hea,,,fotonegatiiv
198694,ETMM _ 9625 M 22:2/69:1,"""Ela, Eesti"" (""Eesti lipp"") segakoorile a cappella   ",22.0,paber,,muusika,,,,ei,  ,,,,,,käsitsi kirjutamine,,,,ETMM,_,9625.0,,,M,2.0,69:01:00,1.0,,1.0,,,rahuldav,mitmevärviline,Ela Eesti (Eesti lipp)              ,"käsikiri, laul/ vokaalmuusika"
2748234,AM N 4219,8. Eesti Laskurkorpus. Korpuse suurtüki lahinglaskmisel Kingissepa ligidal. Osavõtjad tutvuvad enne laskmist märkidega.,4219.0,film,,laskeharjutused,,mai.44,,ei,NSVL  ,autor,"Lukin, E.",,,,mustvalge fotograafia,negatiivi formaat,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,hea,,,fotonegatiiv
2352234,AM _ 13752:78 M 422,Medal,422.0,vask,,valmistamine,linn Peterburi,1782,,,Vene  ,autor,"Leberecht, Karl",,,,,läbimõõt,mm,64,AM,_,13752.0,78.0,,M,,,1.0,,,,,hea,,Peeter I ausamba avamise puhul,medal
1887501,ETMM _ 5567 Ar 782,"Tallinna Meestelaulu Seltsi Laulude kogu, XVI vihk",782.0,paber,,seltsid,,,,,  ,,,,,,trükkimine,trükise maht,lk,14,ETMM,_,5567.0,,,Ar,,,1.0,Teatri- ja Muusikamuuseumi arhiivraamatukogu: raamatud ja noodid,1.0,,,rahuldav,,H. Meri noodikogu ,noodid
3388182,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,30.0,,1.0,Majandusmuuseumi likvideerimisel üleantavad esemed.,1.0,,,hea,,,foto
2124034,,,,,,,,,,,,,,,,,,,,,ETMM,_,6567.0,,,M,1.0,109:07:00,1.0,,1.0,,,hea,,,kiri
2070690,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,160.0,,1.0,,,,,hea,,,foto
1968331,ETMM _ Fk 714/d,"Reprofoto. ""Vahemeri kohiseb"" (O. Feltsmann). Estonia 1951. Kalju Vaha, Sophie Sööäär.",714.0,fotomaterjal,Must-valge raamitud diapositiiv.,,,,,,,,,,,,,laius,cm,36,ETMM,_,,,,Fk,,d,1.0,,0.0,,,rahuldav,,ETMM-i fotolabori töö. Foto Henno Saarne (?).,diapositiiv
4085134,ETMM _ Fk 41728/r,"Metspart, Noorsooteater, 1969, osades: Hedvig - Mari Lill, Hjalmar Ekdal - Mikk Mikiver, Vana Ekdal - Erich Jaansoo, Gregers Werle - Heino Mandri",41728.0,fotomaterjal,,teater,,18.09.1969,,ei,  ,seosorganisatsioon,Noorsooteater,,,,,filmikaader,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,TB080321,,rahuldav,,,fotonegatiiv
2336029,AM _ 36267 A 1026:260,kvartsikillud,1026.0,kvarts,,,,,,,,,,,,,,,,,AM,_,36267.0,,,A,260.0,,1.0,"Uugla asulakoha 2005. a arheoloogiline kaevamine, leiud 1-322; 2006 a leiud 323 - 508. M. Mandel",,,,hea,,,arheoloogiline leid
3943729,AM _ R- 2309,Kauneimaid jõululaule. Tallinn 1988,2309.0,paber,,religioon ja uskumused,,,,,Eesti  ,,,,,,trükkimine,kõrgus,cm,"20,5",AM,_,,,,R-,,,1.0,,1.0,,korras,hea,,"Raamat brošeeritud, paberkaantega. Välja antud Tallinnas EELK Konsistooriumi poolt 1988.a. 16 lk. Illustreeritud. Trükitud trk. ""Kiir"" Viljandis.",raamat
1838338,,,,,,valmistamine,,1918,,ei,  ,,,,,,,laius,mm,24,ETMM,_,,,,Fk,,d,1.0,ETMM-i fotolabori töö.,0.0,,,hea,,ETMM-i fotolabori töö. Fotograaf Henno Saarne (?).,diapositiiv
2317557,AM _ 18136 A 434:32,Savinõukild,434.0,savi,,,,,,,,,,,,,,,,,AM,_,18136.0,,,A,32.0,,1.0,Leitud 1965.a. Keila-Vääna teest ca 500 m läänes suure lõhestunud kivi lähedalt küntud põllult,,,,hea,,,arheoloogiline leid
1254493,,,,,,,,,,,,,,,"Mikiver, Mikk:kirjad:Aslan Haradura",nimetus lähtedokumendil,käsikiri,dokumendi maht,lk,5,ETMM,_,12183.0,229.0,,T,1.0,117:14:00,1.0,,1.0,1989,,hea,,,kiri
198253,ETMM _ 8659 M 27:2/35:1,"""Valguse vaim"" ja ""Mu Jumal"" meeskoorile a cappella   ",27.0,paber,,muusika,,,,,  ,,,,,,käsitsi kirjutamine,,,,ETMM,_,8659.0,,,M,2.0,35:01:00,1.0,,1.0,,Rebenenud,rahuldav,must,"Valguse vaim,õhtule              ","käsikiri, laul/ vokaalmuusika"
2913477,ETMM _ 7970 Mo 10:1/21:9,"Kava,Sümfooniakontsert,dir.
Z.Košler,1971",10.0,paber,,kultuur,,02.02.1971,,ei,  ,,,,,,,,,,ETMM,_,7970.0,,,Mo,1.0,21:09,1.0,,1.0,,,hea,,,kava
2610098,,,,,,teatriajalugu,,07.11.1911,,ei,  ,osaleja,"Avesson, Gustav",,,,,,,,ETMM,_,6682.0,,,T,1.0,04:01,1.0,,1.0,,,hea,,,postkaart
3240030,ETMM _ 8201 M 13:1/354:16,Aino Tamme kontsert,13.0,paber,,kontsertreisid/tuurid,,,,,  ,laulja,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,354:16:00,1.0,,1.0,,,hea,,,kava
2785033,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,1.0,,1.0,,1.0,,,hea,,,fotonegatiiv
1888705,ETMM _ 5567 Ar 814,Kus käisid sa?,814.0,paber,,kopeerimine (valmistamine),,,,,Eesti  ,,,,,,kopeerimine,trükise maht,lk,1,ETMM,_,5567.0,,,Ar,,,1.0,Teatri- ja Muusikamuuseumi arhiivraamatukogu: raamatud ja noodid,0.0,,,rahuldav,,käsikirja paljundus,noodid
3187895,AM _ 70:103/3 P 5418,Üldtööliste ja Teenijate Ühisuse Tallinna Osakonna Transporttööliste sektsiooni revisjonikomisjoni pitser,5418.0,paber,,töölisliikumine,,1920,1924,ei,  ,,,,,,,,,,AM,_,70.0,103.0,3,P,,,1.0,,1.0,,Korras,hea,,Üld Tööliste ja Teenijate Ühisuse Tallinna Osakonna Transporttööliste sektsioon Rew Kommisjon,pitser/templijäljend
4170397,,,,,,,,,,,,,,,,,,,,,ETMM,_,8674.0,,,Af,11.0,M,1.0,,1.0,,,hea,,,plakat
2944560,ETMM _ 7275 T 14:2/44:2,Dekoratsioonikavand lavastusele Kalevipoeg teatris Estonia,14.0,papp,,teatrietendused,,1953,,ei,Eesti  Tallinn,seosisik,"Kapp, Eugen",,,,õli,,,,ETMM,_,7275.0,,,T,2.0,44:02:00,1.0,,1.0,,,hea,,Saare kallas,kavand/joonis/eskiis
